GameFlag(0) GF_Unused_EVT_00
GameFlag(549) GF_Unused_HOS_12
GameFlag(550) GF_Unused_HOS_13
GameFlag(551) GF_Unused_HOS_14
GameFlag(552) GF_Unused_HOS_15
GameFlag(553) GF_Unused_HOS_16
GameFlag(554) GF_Unused_HOS_17
GameFlag(555) GF_Unused_HOS_18
GameFlag(556) GF_Unused_HOS_19
GameFlag(557) GF_Unused_HOS_1A
GameFlag(558) GF_Unused_HOS_1B
GameFlag(559) GF_Unused_HOS_1C
GameFlag(560) GF_Unused_HOS_1D
GameFlag(561) GF_Unused_HOS_1E
GameFlag(562) GF_Unused_HOS_1F
GameFlag(563) GF_Unused_HOS_20
GameFlag(564) GF_Unused_HOS_21
GameFlag(565) GF_Unused_HOS_22
GameFlag(566) GF_NOK01_RecoveredShellA
GameFlag(567) GF_NOK01_RecoveredBlockShell
GameFlag(568) GF_NOK01_RecoveredTreeShell
GameFlag(569) GF_NOK02_StolenShellComplaintA
GameFlag(570) GF_NOK02_RecoveredShellA
GameFlag(571) GF_NOK02_StolenShellComplaintB
GameFlag(572) GF_NOK02_RecoveredShellB
GameFlag(573) GF_NOK02_KoloradoWife_FuzzyComplaint
GameFlag(574) GF_Unused_NOK_08
GameFlag(575) GF_Unused_NOK_09
GameFlag(576) GF_Unused_NOK_0A
GameFlag(577) GF_NOK15_BombedWall
GameFlag(578) GF_NOK03_Item_HPPlusB
GameFlag(579) GF_NOK02_Item_StarPiece
GameFlag(580) GF_NOK12_Item_StarPiece
GameFlag(581) GF_NOK14_Item_ThunderBolt
GameFlag(582) GF_NOK14_Item_CoinA
GameFlag(583) GF_NOK14_Item_CoinB
GameFlag(584) GF_NOK14_Item_CoinC
GameFlag(585) GF_NOK14_Item_CoinD
GameFlag(586) GF_NOK14_Item_CoinE
GameFlag(587) GF_Unused_NOK_15
GameFlag(588) GF_NOK01_Bush1_Coin
GameFlag(589) GF_NOK01_Bush3_DriedShroom
GameFlag(590) GF_NOK01_Bush4_KoopaLeaf
GameFlag(591) GF_NOK01_Bush5_Coin
GameFlag(592) GF_NOK02_Bush1_KoopaLeaf
GameFlag(593) GF_NOK15_Tree1_StarPiece
GameFlag(594) GF_NOK11_ItemBlock_Coin
GameFlag(595) GF_NOK11_BadgeBlock_DizzyAttack
GameFlag(596) GF_NOK11_ItemBlock_FrightJar
GameFlag(597) GF_NOK12_ItemBlock_POWBlock
GameFlag(598) GF_NOK13_BadgeBlock_AttackFXB
GameFlag(599) GF_NOK14_HiddenItem_FireFlower
GameFlag(600) GF_NOK12_MultiCoinBrick
GameFlag(601) GF_Unused_NOK_23
GameFlag(602) GF_Unused_NOK_24
GameFlag(603) GF_Unused_NOK_25
GameFlag(604) GF_Unused_NOK_26
GameFlag(605) GF_Unused_NOK_27
GameFlag(606) GF_NOK01_HiddenPanel
GameFlag(607) GF_Unused_NOK_29
GameFlag(608) GF_NOK13_HiddenPanel
GameFlag(609) GF_NOK14_HiddenPanel
GameFlag(610) GF_NOK11_Defeated_KentC
GameFlag(611) GF_NOK01_Bush6_Glasses
GameFlag(612) GF_NOK01_Bush7_EmptyWallet
GameFlag(613) GF_NOK02_Gift_KoopaLegends
GameFlag(614) GF_NOK02_ConfrontedBobombs
GameFlag(615) GF_NOK12_Item_SleepySheep
GameFlag(616) GF_NOK13_Item_HoneySyrup
GameFlag(617) GF_NOK02_Met_KoopaKoot
GameFlag(618) GF_Unused_NOK_34
GameFlag(619) GF_Unused_NOK_35
GameFlag(620) GF_Unused_NOK_36
GameFlag(621) GF_Unused_NOK_37
GameFlag(622) GF_Unused_NOK_38
GameFlag(623) GF_Unused_NOK_39
GameFlag(624) GF_Unused_NOK_3A
GameFlag(625) GF_Unused_NOK_3B
GameFlag(626) GF_Unused_NOK_3C
GameFlag(627) GF_Unused_NOK_3D
GameFlag(628) GF_Unused_NOK_3E
GameFlag(629) GF_Unused_NOK_3F
GameFlag(630) GF_Unused_NOK_40
GameFlag(631) GF_Unused_NOK_41
GameFlag(632) GF_Unused_NOK_42
GameFlag(633) GF_Unused_NOK_43
GameFlag(634) GF_Unused_NOK_44
GameFlag(635) GF_Unused_NOK_45
GameFlag(636) GF_Unused_NOK_46
GameFlag(637) GF_Unused_NOK_47
GameFlag(638) GF_TRD01_Item_SmashCharge
GameFlag(639) GF_TRD03_Item_PowerBounce
GameFlag(640) GF_TRD09_ItemBlock_MapleSyrup
GameFlag(641) GF_TRD00_Chest_Refund
GameFlag(642) GF_TRD00_Chest_FPPlusB
GameFlag(643) GF_Unused_TRD_05
GameFlag(644) GF_Unused_TRD_06
GameFlag(645) GF_TRD01_Item_FortressKey
GameFlag(646) GF_TRD03_Item_FortressKeyA
GameFlag(647) GF_TRD03_Item_FortressKeyB
GameFlag(648) GF_TRD08_Item_FortressKey
GameFlag(649) GF_Unused_TRD_0B
GameFlag(650) GF_TRD01_UnlockedDoor
GameFlag(651) GF_TRD02_UnlockedDoor
GameFlag(652) GF_TRD04_UnlockedUpperDoor
GameFlag(653) GF_TRD04_UnlockedLowerDoor
GameFlag(654) GF_Unused_TRD_10
GameFlag(655) GF_TRD02_BombedWall
GameFlag(656) GF_TRD03_BombedCenterCell
GameFlag(657) GF_TRD03_BombedRightCell
GameFlag(658) GF_TRD05_BombedWall
GameFlag(659) GF_TRD06_BombedWall
GameFlag(660) GF_TRD06_Met_Bombette
GameFlag(661) GF_TRD09_Defeated_BillBlasters
GameFlag(662) GF_TRD09_BombedRock
GameFlag(663) GF_TRD10_Defeated_KoopaBros
GameFlag(664) GF_Unused_TRD_1A
GameFlag(665) GF_TRD01_Defeated_KoopaGuard
GameFlag(666) GF_TRD07_Defeated_DungeonAmbush
GameFlag(667) GF_Unused_TRD_1D
GameFlag(668) GF_Unused_TRD_1E
GameFlag(669) GF_Unused_TRD_1F
GameFlag(670) GF_Unused_TRD_20
GameFlag(671) GF_Unused_TRD_21
GameFlag(672) GF_Unused_TRD_22
GameFlag(673) GF_Unused_TRD_23
GameFlag(674) GF_Unused_TRD_24
GameFlag(675) GF_Unused_TRD_25
GameFlag(676) GF_Unused_TRD_26
GameFlag(677) GF_Unused_TRD_27
GameFlag(678) GF_Unused_TRD_28
GameFlag(679) GF_Unused_TRD_29
GameFlag(680) GF_Unused_TRD_2A
GameFlag(681) GF_Unused_TRD_2B
GameFlag(682) GF_Unused_TRD_2C
GameFlag(683) GF_Unused_TRD_2D
GameFlag(684) GF_Unused_TRD_2E
GameFlag(685) GF_Unused_TRD_2F
GameFlag(686) GF_IWA01_Item_QuakeHammer
GameFlag(687) GF_IWA02_Item_StarPiece
GameFlag(688) GF_IWA03_Item_StarPiece
GameFlag(689) GF_IWA03_Chest_DamageDodgeB
GameFlag(690) GF_Unused_IWA_04
GameFlag(691) GF_IWA00_Item_CoinA
GameFlag(692) GF_IWA00_Item_CoinB
GameFlag(693) GF_IWA00_Item_CoinC
GameFlag(694) GF_IWA03_Item_CoinA
GameFlag(695) GF_IWA03_Item_CoinB
GameFlag(696) GF_IWA03_Item_CoinC
GameFlag(697) GF_IWA03_Item_CoinD
GameFlag(698) GF_IWA03_Item_CoinE
GameFlag(699) GF_IWA03_Item_CoinF
GameFlag(700) GF_IWA03_Item_CoinG
GameFlag(701) GF_IWA03_Item_CoinH
GameFlag(702) GF_IWA03_ItemBlock_Coin
GameFlag(703) GF_IWA03_ItemBlock_Mushroom
GameFlag(704) GF_IWA03_ItemBlock_HoneySyrup
GameFlag(705) GF_IWA01_Item_Letter01
GameFlag(706) GF_IWA03_Item_LettertoKolorado
GameFlag(707) GF_IWA04_Item_Letter10
GameFlag(708) GF_IWA04_Defeated_Buzzar
GameFlag(709) GF_IWA10_Bush1_Coin
GameFlag(710) GF_IWA10_Bush2_Coin
GameFlag(711) GF_IWA10_Bush3_Coin
GameFlag(712) GF_Unused_IWA_1A
GameFlag(713) GF_Unused_IWA_1B
GameFlag(714) GF_Unused_IWA_1C
GameFlag(715) GF_IWA00_ItemBlock_SleepySheep
GameFlag(716) GF_IWA02_Gift_MagicalSeed2
GameFlag(717) GF_IWA01_HiddenPanel
GameFlag(718) GF_Unused_IWA_20
GameFlag(719) GF_IWA01_Hammer1Block
GameFlag(720) GF_IWA10_Hammer1Block
GameFlag(721) GF_IWA10_SuperBlock
GameFlag(722) GF_IWA00_Met_Whacka
GameFlag(723) GF_Unused_IWA_25
GameFlag(724) GF_Unused_IWA_26
GameFlag(725) GF_Unused_IWA_27
GameFlag(726) GF_Unused_IWA_28
GameFlag(727) GF_Unused_IWA_29
GameFlag(728) GF_Unused_IWA_2A
GameFlag(729) GF_Unused_IWA_2B
GameFlag(730) GF_Unused_IWA_2C
GameFlag(731) GF_Unused_IWA_2D
GameFlag(732) GF_Unused_IWA_2E
GameFlag(733) GF_Unused_IWA_2F
GameFlag(734) GF_Unused_IWA_30
GameFlag(735) GF_Unused_IWA_31
GameFlag(736) GF_Unused_IWA_32
GameFlag(737) GF_Unused_IWA_33
GameFlag(738) GF_Unused_IWA_34
GameFlag(739) GF_Unused_IWA_35
GameFlag(740) GF_Unused_IWA_36
GameFlag(741) GF_Unused_IWA_37
GameFlag(742) GF_Unused_IWA_38
GameFlag(743) GF_Unused_IWA_39
GameFlag(744) GF_Unused_IWA_3A
GameFlag(745) GF_Unused_IWA_3B
GameFlag(746) GF_DRO02_Sheek_SpokeTo
GameFlag(747) GF_DRO02_Sheek_AskedAboutDesert
GameFlag(748) GF_DRO02_Sheek_AskedAboutRuins
GameFlag(749) GF_DRO02_Sheek_AskedAboutMoustafa
GameFlag(750) GF_DRO02_Moustafa_UnusedDialogOverride
GameFlag(751) GF_DRO02_Moustafa_HeardAboutDryDryRuins
GameFlag(752) GF_Unused_DRO_06
GameFlag(753) GF_Unused_DRO_07
GameFlag(754) GF_DRO01_Gift_Melody
GameFlag(755) GF_DRO01_Gift_ToldComposerAboutMelody
GameFlag(756) GF_DRO02_HiddenPanel
GameFlag(757) GF_DRO02_Item_Letter08
GameFlag(758) GF_DRO01_Gift_RedJar
GameFlag(759) GF_DRO01_Gift_CrystalBall
GameFlag(760) GF_DRO01_Tree1_Coin
GameFlag(761) GF_DRO01_HeardHintAboutSpinningRoof
GameFlag(762) GF_Unused_DRO_10
GameFlag(763) GF_Unused_DRO_11
GameFlag(764) GF_Unused_DRO_12
GameFlag(765) GF_Unused_DRO_13
GameFlag(766) GF_Unused_DRO_14
GameFlag(767) GF_Unused_DRO_15
GameFlag(768) GF_Unused_DRO_16
GameFlag(769) GF_Unused_DRO_17
GameFlag(770) GF_Unused_DRO_18
GameFlag(771) GF_Unused_DRO_19
GameFlag(772) GF_Unused_DRO_1A
GameFlag(773) GF_Unused_DRO_1B
GameFlag(774) GF_Unused_DRO_1C
GameFlag(775) GF_Unused_DRO_1D
GameFlag(776) GF_Unused_DRO_1E
GameFlag(777) GF_Unused_DRO_1F
GameFlag(778) GF_Unused_DRO_20
GameFlag(779) GF_Unused_DRO_21
GameFlag(780) GF_Unused_DRO_22
GameFlag(781) GF_Unused_DRO_23
GameFlag(782) GF_SBK30_Met_Kolorado
GameFlag(783) GF_SBK34_Met_Nomadimouse
GameFlag(784) GF_Unused_SBK_02
GameFlag(785) GF_SBK_KeptArtifactFromKolorado
GameFlag(786) GF_SBK_GaveArtifactToKolorado
GameFlag(787) GF_SBK30_Kolorado_SharedRumorAboutMoustafa
GameFlag(788) GF_Unused_SBK_06
GameFlag(789) GF_Unused_SBK_07
GameFlag(790) GF_Unused_SBK_08
GameFlag(791) GF_Unused_SBK_09
GameFlag(792) GF_SBK56_Tree1_Lemon
GameFlag(793) GF_SBK56_UnusedA
GameFlag(794) GF_SBK56_Tree2_Lime
GameFlag(795) GF_SBK56_UnusedB
GameFlag(796) GF_SBK33_HiddenPanel
GameFlag(797) GF_SBK00_ItemBlock_FrightJar
GameFlag(798) GF_SBK00_ItemBlock_Coin
GameFlag(799) GF_SBK10_HiddenItem_ThunderRage
GameFlag(800) GF_SBK14_ItemBlock_Coin
GameFlag(801) GF_SBK14_ItemBlock_HoneySyrup
GameFlag(802) GF_SBK20_ItemBlock_Mushroom
GameFlag(803) GF_SBK20_ItemBlock_SuperShroom
GameFlag(804) GF_SBK20_ItemBlock_UltraShroom
GameFlag(805) GF_SBK22_ItemBlock_CoinA
GameFlag(806) GF_SBK22_ItemBlock_CoinB
GameFlag(807) GF_SBK22_ItemBlock_CoinC
GameFlag(808) GF_SBK22_ItemBlock_CoinD
GameFlag(809) GF_SBK22_ItemBlock_FireFlower
GameFlag(810) GF_SBK24_HiddenBadge_RunawayPay
GameFlag(811) GF_SBK43_ItemBlock_Coin
GameFlag(812) GF_SBK46_ItemBlock_Coin
GameFlag(813) GF_SBK46_HiddenItem_LifeShroom
GameFlag(814) GF_SBK61_HiddenBadge_AttackFXC
GameFlag(815) GF_SBK64_ItemBlock_Coin
GameFlag(816) GF_SBK06_MultiCoinBrick
GameFlag(817) GF_SBK14_MultiCoinBrick
GameFlag(818) GF_SBK25_MultiCoinBrickA
GameFlag(819) GF_SBK25_MultiCoinBrickB
GameFlag(820) GF_SBK40_MultiCoinBrick
GameFlag(821) GF_SBK52_MultiCoinBrick
GameFlag(822) GF_SBK55_MultiCoinBrick
GameFlag(823) GF_SBK66_MultiCoinBrickA
GameFlag(824) GF_SBK66_MultiCoinBrickB
GameFlag(825) GF_SBK66_MultiCoinBrickC
GameFlag(826) GF_SBK66_MultiCoinBrickD
GameFlag(827) GF_SBK66_MultiCoinBrickE
GameFlag(828) GF_SBK66_MultiCoinBrickF
GameFlag(829) GF_SBK56_SuperBlock
GameFlag(830) GF_SBK30_Visited
GameFlag(831) GF_SBK05_Item_FireFlower
GameFlag(832) GF_SBK30_Tree2_Letter02
GameFlag(833) GF_SBK36_Tree9_Letter03
GameFlag(834) GF_SBK45_Item_SpinAttack
GameFlag(835) GF_SBK45_Item_StopWatch
GameFlag(836) GF_SBK55_Item_TastyTonic
GameFlag(837) GF_SBK06_Tree1_Coin
GameFlag(838) GF_SBK26_Tree1_Coin
GameFlag(839) GF_SBK34_Tree1_Coin
GameFlag(840) GF_SBK35_Tree1_Coin
GameFlag(841) GF_SBK36_Tree1_Coin
GameFlag(842) GF_SBK36_Tree2_Coin
GameFlag(843) GF_SBK36_Tree6_Coin
GameFlag(844) GF_SBK46_Tree2_Coin
GameFlag(845) GF_SBK55_Tree1_Coin
GameFlag(846) GF_SBK56_Tree3_Coin
GameFlag(847) GF_SBK56_Tree9_Coin
GameFlag(848) GF_SBK66_Tree3_Coin
GameFlag(849) GF_SBK30_KooperMetKolorado
GameFlag(850) GF_Unused_SBK_44
GameFlag(851) GF_Unused_SBK_45
GameFlag(852) GF_Unused_SBK_46
GameFlag(853) GF_Unused_SBK_47
GameFlag(854) GF_Unused_SBK_48
GameFlag(855) GF_Unused_SBK_49
GameFlag(856) GF_Unused_SBK_4A
GameFlag(857) GF_Unused_SBK_4B
GameFlag(858) GF_Unused_SBK_4C
GameFlag(859) GF_Unused_SBK_4D
GameFlag(860) GF_Unused_SBK_4E
GameFlag(861) GF_Unused_SBK_4F
GameFlag(862) GF_Unused_SBK_50
GameFlag(863) GF_Unused_SBK_51
GameFlag(864) GF_Unused_SBK_52
GameFlag(865) GF_Unused_SBK_53
GameFlag(866) GF_Unused_SBK_54
GameFlag(867) GF_Unused_SBK_55
GameFlag(868) GF_Unused_SBK_56
GameFlag(869) GF_Unused_SBK_57
GameFlag(870) GF_ISK02_UnlockedDoor
GameFlag(871) GF_ISK03_Item_RuinsKey
GameFlag(872) GF_ISK04_BombedWall
GameFlag(873) GF_ISK04_UnlockedDoor
GameFlag(874) GF_ISK06_Item_RuinsKey
GameFlag(875) GF_ISK07_Item_RuinsKey
GameFlag(876) GF_ISK07_Defeated_Mummies
GameFlag(877) GF_ISK07_UnlockedDoor
GameFlag(878) GF_ISK_BombedWallFrom08
GameFlag(879) GF_ISK10_BombedWall
GameFlag(880) GF_ISK_BombedWallFrom10
GameFlag(881) GF_ISK13_Item_LunarStone
GameFlag(882) GF_ISK05_Item_PyramidStone
GameFlag(883) GF_ISK14_Item_DiamondStone
GameFlag(884) GF_ISK07_Item_Artifact
GameFlag(885) GF_ISK06_Item_StarPiece
GameFlag(886) GF_ISK07_OpenedSarcophagi
GameFlag(887) GF_ISK12_Item_RuinsKey
GameFlag(888) GF_ISK11_UnlockedDoor
GameFlag(889) GF_ISK01_FirstWarning
GameFlag(890) GF_ISK04_SecondWarning
GameFlag(891) GF_ISK09_ThirdWarning
GameFlag(892) GF_ISK11_FourthWarning
GameFlag(893) GF_ISK19_FinalWarning
GameFlag(894) GF_ISK05_Hammer2Block
GameFlag(895) GF_ISK07_Hammer2Block
GameFlag(896) GF_ISK09_Hammer2Block
GameFlag(897) GF_ISK12_Hammer2Block
GameFlag(898) GF_ISK13_Hammer2Block
GameFlag(899) GF_ISK14_Hammer2Block
GameFlag(900) GF_ISK09_GiantChest
GameFlag(901) GF_ISK09_Chest_SlowGo
GameFlag(902) GF_ISK16_Defeated_Tutankoopa
GameFlag(903) GF_ISK10_SuperBlock
GameFlag(904) GF_ISK05_Defeated_StoneChomp
GameFlag(905) GF_ISK13_Defeated_StoneChomp
GameFlag(906) GF_ISK14_Defeated_StoneChomp
GameFlag(907) GF_Unused_ISK_25
GameFlag(908) GF_Unused_ISK_26
GameFlag(909) GF_Unused_ISK_27
GameFlag(910) GF_Unused_ISK_28
GameFlag(911) GF_Unused_ISK_29
GameFlag(912) GF_Unused_ISK_2A
GameFlag(913) GF_Unused_ISK_2B
GameFlag(914) GF_Unused_ISK_2C
GameFlag(915) GF_Unused_ISK_2D
GameFlag(916) GF_Unused_ISK_2E
GameFlag(917) GF_Unused_ISK_2F
GameFlag(918) GF_Unused_ISK_30
GameFlag(919) GF_Unused_ISK_31
GameFlag(920) GF_Unused_ISK_32
GameFlag(921) GF_Unused_ISK_33
GameFlag(922) GF_Unused_ISK_34
GameFlag(923) GF_Unused_ISK_35
GameFlag(924) GF_MIM_ChoosingPath
GameFlag(925) GF_MIM08_BadgeBlock_HPPlusA
GameFlag(926) GF_MIM09_BadgeBlock_FPPlusA
GameFlag(927) GF_MIM10_Defeated_JrTroopa
GameFlag(928) GF_MIM10_JrTroopaFreakout
GameFlag(929) GF_MIM10_JrTroopaEscaped
GameFlag(930) GF_MIM04_Gift_MagicalSeed3
GameFlag(931) GF_Unused_MIM_07
GameFlag(932) GF_Unused_MIM_08
GameFlag(933) GF_MIM12_HiddenPanel
GameFlag(934) GF_Unused_MIM_0A
GameFlag(935) GF_MIM11_ItemBlock_VoltShroom
GameFlag(936) GF_Unused_MIM_0C
GameFlag(937) GF_Unused_MIM_0D
GameFlag(938) GF_Unused_MIM_0E
GameFlag(939) GF_Unused_MIM_0F
GameFlag(940) GF_Unused_MIM_10
GameFlag(941) GF_Unused_MIM_11
GameFlag(942) GF_Unused_MIM_12
GameFlag(943) GF_Unused_MIM_13
GameFlag(944) GF_Unused_MIM_14
GameFlag(945) GF_Unused_MIM_15
GameFlag(946) GF_Unused_MIM_16
GameFlag(947) GF_Unused_MIM_17
GameFlag(948) GF_Unused_MIM_18
GameFlag(949) GF_Unused_MIM_19
GameFlag(950) GF_Unused_MIM_1A
GameFlag(951) GF_Unused_MIM_1B
GameFlag(952) GF_Unused_MIM_1C
GameFlag(953) GF_Unused_MIM_1D
GameFlag(954) GF_Unused_MIM_1E
GameFlag(955) GF_Unused_MIM_1F
GameFlag(956) GF_Unused_OBK_00
GameFlag(957) GF_OBK01_Visited
GameFlag(958) GF_Unused_OBK_02
GameFlag(959) GF_OBK01_Gift_OldPhoto
GameFlag(960) GF_OBK01_Portrait_Farewell
GameFlag(961) GF_OBK01_HiddenPanel
GameFlag(962) GF_OBK02_TriggeredChestTrap
GameFlag(963) GF_OBK02_Chest_Trap
GameFlag(964) GF_OBK02_HiddenPanel
GameFlag(965) GF_OBK03_Crate_SuperShroom
GameFlag(966) GF_Unused_OBK_0A
GameFlag(967) GF_OBK04_GiantChest
GameFlag(968) GF_OBK04_BoardedFloor
GameFlag(969) GF_OBK04_UnusedBoardedFloor
GameFlag(970) GF_OBK04_Crate_MapleSyrup
GameFlag(971) GF_OBK04_HeardAboutHiddenPanels
GameFlag(972) GF_OBK04_HiddenPanel
GameFlag(973) GF_OBK05_BoardedFloor
GameFlag(974) GF_OBK06_BombedWall
GameFlag(975) GF_OBK06_Item_BoosPortrait
GameFlag(976) GF_OBK06_Crate_StarPiece
GameFlag(977) GF_Unused_OBK_15
GameFlag(978) GF_OBK07_Chest_Weight
GameFlag(979) GF_OBK08_Item_Record
GameFlag(980) GF_OBK08_HiddenPanel
GameFlag(981) GF_OBK01_Met_Portrait
GameFlag(982) GF_Unused_OBK_1A
GameFlag(983) GF_Unused_OBK_1B
GameFlag(984) GF_Unused_OBK_1C
GameFlag(985) GF_Unused_OBK_1D
GameFlag(986) GF_Unused_OBK_1E
GameFlag(987) GF_Unused_OBK_1F
GameFlag(988) GF_Unused_OBK_20
GameFlag(989) GF_Unused_OBK_21
GameFlag(990) GF_Unused_OBK_22
GameFlag(991) GF_Unused_OBK_23
GameFlag(992) GF_Unused_OBK_24
GameFlag(993) GF_Unused_OBK_25
GameFlag(994) GF_Unused_OBK_26
GameFlag(995) GF_Unused_OBK_27
GameFlag(996) GF_Unused_OBK_28
GameFlag(997) GF_Unused_OBK_29
GameFlag(998) GF_Unused_OBK_2A
GameFlag(999) GF_Unused_OBK_2B
GameFlag(1000) GF_Unused_OBK_2C
GameFlag(1001) GF_Unused_ARN_00
GameFlag(1002) GF_ARN02_ItemBlock_CoinA
GameFlag(1003) GF_ARN02_ItemBlock_CoinB
GameFlag(1004) GF_ARN02_ItemBlock_RepelGel
GameFlag(1005) GF_ARN02_Item_DizzyDial
GameFlag(1006) GF_ARN02_Item_LetterFiceT
GameFlag(1007) GF_ARN03_ItemBlock_Coin
GameFlag(1008) GF_ARN04_ItemBlock_SuperShroom
GameFlag(1009) GF_ARN04_ItemBlock_Coin
GameFlag(1010) GF_ARN04_MultiCoinBrick
GameFlag(1011) GF_Unused_ARN_0A
GameFlag(1012) GF_Unused_ARN_0B
GameFlag(1013) GF_Unused_ARN_0C
GameFlag(1014) GF_ARN05_GaveGiftAdvice
GameFlag(1015) GF_ARN03_RecievedPackage
GameFlag(1016) GF_ARN10_Defeated_Goomba
GameFlag(1017) GF_ARN12_Defeated_Goomba
GameFlag(1018) GF_ARN13_Defeated_Goomba
GameFlag(1019) GF_ARN04_Item_StarPiece
GameFlag(1020) GF_ARN03_WaitingForPackage
GameFlag(1021) GF_Unused_ARN_14
GameFlag(1022) GF_Unused_ARN_15
GameFlag(1023) GF_Unused_ARN_16
GameFlag(1024) GF_Unused_ARN_17
GameFlag(1025) GF_Unused_ARN_18
GameFlag(1026) GF_Unused_ARN_19
GameFlag(1027) GF_Unused_ARN_1A
GameFlag(1028) GF_Unused_ARN_1B
GameFlag(1029) GF_Unused_ARN_1C
GameFlag(1030) GF_Unused_ARN_1D
GameFlag(1031) GF_Unused_ARN_1E
GameFlag(1032) GF_Unused_ARN_1F
GameFlag(1033) GF_Unused_ARN_20
GameFlag(1034) GF_Unused_ARN_21
GameFlag(1035) GF_Unused_ARN_22
GameFlag(1036) GF_Unused_ARN_23
GameFlag(1037) GF_Unused_ARN_24
GameFlag(1038) GF_Unused_ARN_25
GameFlag(1039) GF_Unused_ARN_26
GameFlag(1040) GF_DGB01_UnlockedEastWing
GameFlag(1041) GF_DGB01_Visited
GameFlag(1042) GF_DGB03_Item_StarPiece
GameFlag(1043) GF_DGB03_UnlockedThirdFloor
GameFlag(1044) GF_DGB03_PushedClock
GameFlag(1045) GF_DGB03_PushedClockLeft
GameFlag(1046) GF_DGB04_SuperBlock
GameFlag(1047) GF_DGB05_BoardedFloor
GameFlag(1048) GF_DGB06_Chest_CastleKey1
GameFlag(1049) GF_Unused_DGB_09
GameFlag(1050) GF_DGB07_Item_StarPiece
GameFlag(1051) GF_DGB09_BombedWall
GameFlag(1052) GF_DGB10_BoardedFloor1
GameFlag(1053) GF_DGB10_BoardedFloor2
GameFlag(1054) GF_DGB10_BoardedFloor3
GameFlag(1055) GF_DGB11_Item_DDownJump
GameFlag(1056) GF_Unused_DGB_10
GameFlag(1057) GF_DGB12_Chest_CastleKey1
GameFlag(1058) GF_DGB13_Item_MegaRush
GameFlag(1059) GF_DGB13_Item_CoinA
GameFlag(1060) GF_DGB13_Item_CoinB
GameFlag(1061) GF_DGB13_Item_CoinC
GameFlag(1062) GF_DGB13_Item_CoinD
GameFlag(1063) GF_DGB13_Item_CoinE
GameFlag(1064) GF_DGB13_Item_CoinF
GameFlag(1065) GF_DGB14_ItemBlock_MapleSyrup
GameFlag(1066) GF_DGB15_UnlockedUpperFoyer
GameFlag(1067) GF_DGB15_CloseCallWithTubba
GameFlag(1068) GF_DGB16_EscapedFromTubba
GameFlag(1069) GF_DGB16_Item_CastleKey1
GameFlag(1070) GF_Unused_DGB_1E
GameFlag(1071) GF_DGB18_Chest_MysticalKey
GameFlag(1072) GF_Unused_DGB_20
GameFlag(1073) GF_Unused_DGB_21
GameFlag(1074) GF_Unused_DGB_22
GameFlag(1075) GF_Unused_DGB_23
GameFlag(1076) GF_Unused_DGB_24
GameFlag(1077) GF_Unused_DGB_25
GameFlag(1078) GF_Unused_DGB_26
GameFlag(1079) GF_Unused_DGB_27
GameFlag(1080) GF_Unused_DGB_28
GameFlag(1081) GF_Unused_DGB_29
GameFlag(1082) GF_Unused_DGB_2A
GameFlag(1083) GF_Unused_DGB_2B
GameFlag(1084) GF_Unused_DGB_2C
GameFlag(1085) GF_Unused_DGB_2D
GameFlag(1086) GF_Unused_DGB_2E
GameFlag(1087) GF_Unused_DGB_2F
GameFlag(1088) GF_Unused_DGB_30
GameFlag(1089) GF_Unused_DGB_31
GameFlag(1090) GF_Unused_DGB_32
GameFlag(1091) GF_Unused_DGB_33
GameFlag(1092) GF_Unused_DGB_34
GameFlag(1093) GF_Unused_DGB_35
GameFlag(1094) GF_Unused_DGB_36
GameFlag(1095) GF_Unused_DGB_37
GameFlag(1096) GF_Unused_DGB_38
GameFlag(1097) GF_Unused_DGB_39
GameFlag(1098) GF_Unused_OMO_00
GameFlag(1099) GF_OMO01_Met_GourmetGuy
GameFlag(1100) GF_OMO03_LearnedAboutTrainSwitches
GameFlag(1101) GF_OMO03_BlueSwitchActivated
GameFlag(1102) GF_OMO04_Item_Mushroom
GameFlag(1103) GF_OMO07_Item_ThunderRage
GameFlag(1104) GF_OMO09_Item_SuperSoda
GameFlag(1105) GF_OMO13_Defeated_AntiGuy
GameFlag(1106) GF_OMO05_Item_Cookbook
GameFlag(1107) GF_OMO01_Visited
GameFlag(1108) GF_OMO01_Item_Calculator
GameFlag(1109) GF_OMO09_Defeated_CalculatorThief
GameFlag(1110) GF_OMO01_HiddenItem_Mystery
GameFlag(1111) GF_OMO01_HiddenItem_FrightJar
GameFlag(1112) GF_OMO02_ShyGuyFledBehindWall
GameFlag(1113) GF_OMO02_BombedWall
GameFlag(1114) GF_OMO02_ItemBlock_SleepySheep
GameFlag(1115) GF_OMO02_HiddenItem_Coin
GameFlag(1116) GF_OMO02_Item_ShootingStar
GameFlag(1117) GF_OMO03_HiddenItem_StoneCap
GameFlag(1118) GF_OMO04_SpawnedPeachChoice1
GameFlag(1119) GF_OMO04_Chest_StoreroomKey
GameFlag(1120) GF_OMO04_ItemBlock_CoinA
GameFlag(1121) GF_OMO04_ItemBlock_CoinB
GameFlag(1122) GF_OMO04_ItemBlock_ThunderBolt
GameFlag(1123) GF_OMO04_Item_CoinA
GameFlag(1124) GF_OMO04_Item_CoinB
GameFlag(1125) GF_OMO04_Item_CoinC
