EVT_SAVE_FLAG(0) GF_Unused_EVT_00
EVT_SAVE_FLAG(411) GF_TIK21_ItemBlock_Coin
EVT_SAVE_FLAG(412) GF_TIK21_HiddenItem_CoinA
EVT_SAVE_FLAG(413) GF_TIK21_HiddenItem_CoinB
EVT_SAVE_FLAG(414) GF_TIK21_HiddenItem_CoinC
EVT_SAVE_FLAG(415) GF_TIK21_HiddenItem_CoinD
EVT_SAVE_FLAG(416) GF_TIK23_HiddenItem_MapleSyrup
EVT_SAVE_FLAG(417) GF_TIK23_HiddenItem_StopWatch
EVT_SAVE_FLAG(418) GF_TIK23_HiddenItem_VoltShroom
EVT_SAVE_FLAG(419) GF_TIK23_ItemBlock_Coin
EVT_SAVE_FLAG(420) GF_TIK24_HiddenItem_LifeShroom
EVT_SAVE_FLAG(421) GF_TIK24_ItemBlock_CoinA
EVT_SAVE_FLAG(422) GF_TIK24_ItemBlock_CoinB
EVT_SAVE_FLAG(423) GF_TIK25_GiantChest
EVT_SAVE_FLAG(424) GF_TIK05_SpringBrick
EVT_SAVE_FLAG(425) GF_TIK25_SpringBrickA
EVT_SAVE_FLAG(426) GF_TIK25_SpringBrickB
EVT_SAVE_FLAG(427) GF_TIK_DefeatedOneBlooper
EVT_SAVE_FLAG(428) GF_TIK_DefeatedTwoBloopers
EVT_SAVE_FLAG(429) GF_TIK01_Defeated_Blooper
EVT_SAVE_FLAG(430) GF_TIK02_Defeated_Blooper
EVT_SAVE_FLAG(431) GF_TIK08_Defeated_Blooper
EVT_SAVE_FLAG(432) GF_TIK09_Defeated_Ambush
EVT_SAVE_FLAG(433) GF_TIK07_SuperBlock
EVT_SAVE_FLAG(434) GF_TIK10_SuperBlock
EVT_SAVE_FLAG(435) GF_TIK02_SuperBlock
EVT_SAVE_FLAG(436) GF_TIK17_SuperBlock
EVT_SAVE_FLAG(437) GF_TIK19_SuperBlock
EVT_SAVE_FLAG(438) GF_Tutorial_SuperBlock
EVT_SAVE_FLAG(439) GF_Unused_TIK_33
EVT_SAVE_FLAG(440) GF_Unused_TIK_34
EVT_SAVE_FLAG(441) GF_Unused_TIK_35
EVT_SAVE_FLAG(442) GF_Unused_TIK_36
EVT_SAVE_FLAG(443) GF_Unused_TIK_37
EVT_SAVE_FLAG(444) GF_Unused_TIK_38
EVT_SAVE_FLAG(445) GF_Unused_TIK_39
EVT_SAVE_FLAG(446) GF_Unused_TIK_3A
EVT_SAVE_FLAG(447) GF_Unused_TIK_3B
EVT_SAVE_FLAG(448) GF_Unused_TIK_3C
EVT_SAVE_FLAG(449) GF_Unused_TIK_3D
EVT_SAVE_FLAG(450) GF_Unused_TIK_3E
EVT_SAVE_FLAG(451) GF_Unused_TIK_3F
EVT_SAVE_FLAG(452) GF_Unused_TIK_40
EVT_SAVE_FLAG(453) GF_Unused_TIK_41
EVT_SAVE_FLAG(454) GF_Unused_TIK_42
EVT_SAVE_FLAG(455) GF_Unused_TIK_43
EVT_SAVE_FLAG(456) GF_Unused_TIK_44
EVT_SAVE_FLAG(457) GF_Unused_TIK_45
EVT_SAVE_FLAG(458) GF_Unused_TIK_46
EVT_SAVE_FLAG(459) GF_Unused_KGR_00
EVT_SAVE_FLAG(460) GF_Unused_KGR_01
EVT_SAVE_FLAG(461) GF_Unused_KGR_02
EVT_SAVE_FLAG(462) GF_Unused_KGR_03
EVT_SAVE_FLAG(463) GF_Unused_KGR_04
EVT_SAVE_FLAG(464) GF_Unused_KGR_05
EVT_SAVE_FLAG(465) GF_Unused_KGR_06
EVT_SAVE_FLAG(466) GF_Unused_KGR_07
EVT_SAVE_FLAG(467) GF_Unused_KGR_08
EVT_SAVE_FLAG(468) GF_Unused_KGR_09
EVT_SAVE_FLAG(469) GF_Unused_KGR_0A
EVT_SAVE_FLAG(470) GF_Unused_KGR_0B
EVT_SAVE_FLAG(471) GF_Unused_KGR_0C
EVT_SAVE_FLAG(472) GF_Unused_KGR_0D
EVT_SAVE_FLAG(473) GF_Unused_KGR_0E
EVT_SAVE_FLAG(474) GF_Unused_KGR_0F
EVT_SAVE_FLAG(475) GF_Unused_KGR_10
EVT_SAVE_FLAG(476) GF_Unused_KGR_11
EVT_SAVE_FLAG(477) GF_Unused_KGR_12
EVT_SAVE_FLAG(478) GF_Unused_KGR_13
EVT_SAVE_FLAG(479) GF_KKJ14_OpenedPassage
EVT_SAVE_FLAG(480) GF_KKJ14_RevealedButton
EVT_SAVE_FLAG(481) GF_KKJ14_SkipSecretPassage
EVT_SAVE_FLAG(482) GF_KKJ20_PeachMet_ToadInHiding
EVT_SAVE_FLAG(483) GF_KKJ17_FoundMagicChest
EVT_SAVE_FLAG(484) GF_KKJ16_Item_PowerRush
EVT_SAVE_FLAG(485) GF_KKJ16_Gift_ShootingStar
EVT_SAVE_FLAG(486) GF_KKJ17_Item_DeepFocus
EVT_SAVE_FLAG(487) GF_KKJ20_Chest_LastStand
EVT_SAVE_FLAG(488) GF_KKJ29_PeachWonJamminJelly
EVT_SAVE_FLAG(489) GF_KKJ_Stored_PowerRush
EVT_SAVE_FLAG(490) GF_KKJ_Stored_ShootingStar
EVT_SAVE_FLAG(491) GF_KKJ_Stored_DeepFocus
EVT_SAVE_FLAG(492) GF_KKJ_Stored_LastStand
EVT_SAVE_FLAG(493) GF_KKJ_Stored_JamminJelly
EVT_SAVE_FLAG(494) GF_KKJ_Retrieved_PowerRush
EVT_SAVE_FLAG(495) GF_KKJ_Retrieved_ShootingStar
EVT_SAVE_FLAG(496) GF_KKJ_Retrieved_DeepFocus
EVT_SAVE_FLAG(497) GF_KKJ_Retrieved_LastStand
EVT_SAVE_FLAG(498) GF_KKJ_Retrieved_JamminJelly
EVT_SAVE_FLAG(499) GF_KKJ18_GourmetGuy_GaveKey
EVT_SAVE_FLAG(500) GF_KKJ11_UnlockedKitchen
EVT_SAVE_FLAG(501) GF_KKJ11_TrickedGuard
EVT_SAVE_FLAG(502) GF_KKJ10_UnlockedDoor
EVT_SAVE_FLAG(503) GF_KKJ12_TrickedGuard
EVT_SAVE_FLAG(504) GF_KKJ16_Item_LifeShroom
EVT_SAVE_FLAG(505) GF_KKJ20_Met_ToadInHiding
EVT_SAVE_FLAG(506) GF_KKJ13_BowserTaunts
EVT_SAVE_FLAG(507) GF_KKJ23_BowserFledToTower
EVT_SAVE_FLAG(508) GF_KKJ25_Defeated_Kammy
EVT_SAVE_FLAG(509) GF_KKJ25_Defeated_Bowser
EVT_SAVE_FLAG(510) GF_KKJ25_Visited
EVT_SAVE_FLAG(511) GF_Unused_KKJ_20
EVT_SAVE_FLAG(512) GF_Unused_KKJ_21
EVT_SAVE_FLAG(513) GF_Unused_KKJ_22
EVT_SAVE_FLAG(514) GF_Unused_KKJ_23
EVT_SAVE_FLAG(515) GF_Unused_KKJ_24
EVT_SAVE_FLAG(516) GF_Unused_KKJ_25
EVT_SAVE_FLAG(517) GF_Unused_KKJ_26
EVT_SAVE_FLAG(518) GF_Unused_KKJ_27
EVT_SAVE_FLAG(519) GF_Unused_KKJ_28
EVT_SAVE_FLAG(520) GF_Unused_KKJ_29
EVT_SAVE_FLAG(521) GF_Unused_KKJ_2A
EVT_SAVE_FLAG(522) GF_Unused_KKJ_2B
EVT_SAVE_FLAG(523) GF_Unused_KKJ_2C
EVT_SAVE_FLAG(524) GF_Unused_KKJ_2D
EVT_SAVE_FLAG(525) GF_Unused_KKJ_2E
EVT_SAVE_FLAG(526) GF_Unused_KKJ_2F
EVT_SAVE_FLAG(527) GF_Unused_KKJ_30
EVT_SAVE_FLAG(528) GF_Unused_KKJ_31
EVT_SAVE_FLAG(529) GF_Unused_KKJ_32
EVT_SAVE_FLAG(530) GF_Unused_KKJ_33
EVT_SAVE_FLAG(531) GF_Unused_HOS_00
EVT_SAVE_FLAG(532) GF_HOS04_Visited
EVT_SAVE_FLAG(533) GF_Unused_HOS_02
EVT_SAVE_FLAG(534) GF_Unused_HOS_03
EVT_SAVE_FLAG(535) GF_HOS06_Met_Merluvlee
EVT_SAVE_FLAG(536) GF_HOS06_MerluvleeRequestedCrystalBall
EVT_SAVE_FLAG(537) GF_HOS06_Gift_MerluvleesAutograph
EVT_SAVE_FLAG(538) GF_HOS00_HiddenPanel
EVT_SAVE_FLAG(539) GF_HOS01_HiddenPanel
EVT_SAVE_FLAG(540) GF_HOS06_HiddenPanel
EVT_SAVE_FLAG(541) GF_Unused_HOS_0A
EVT_SAVE_FLAG(542) GF_Unused_HOS_0B
EVT_SAVE_FLAG(543) GF_Unused_HOS_0C
EVT_SAVE_FLAG(544) GF_HOS01_Item_StarPiece
EVT_SAVE_FLAG(545) GF_Unused_HOS_0E
EVT_SAVE_FLAG(546) GF_Unused_HOS_0F
EVT_SAVE_FLAG(547) GF_Unused_HOS_10
EVT_SAVE_FLAG(548) GF_Unused_HOS_11
EVT_SAVE_FLAG(549) GF_Unused_HOS_12
EVT_SAVE_FLAG(550) GF_Unused_HOS_13
EVT_SAVE_FLAG(551) GF_Unused_HOS_14
EVT_SAVE_FLAG(552) GF_Unused_HOS_15
EVT_SAVE_FLAG(553) GF_Unused_HOS_16
EVT_SAVE_FLAG(554) GF_Unused_HOS_17
EVT_SAVE_FLAG(555) GF_Unused_HOS_18
EVT_SAVE_FLAG(556) GF_Unused_HOS_19
EVT_SAVE_FLAG(557) GF_Unused_HOS_1A
EVT_SAVE_FLAG(558) GF_Unused_HOS_1B
EVT_SAVE_FLAG(559) GF_Unused_HOS_1C
EVT_SAVE_FLAG(560) GF_Unused_HOS_1D
EVT_SAVE_FLAG(561) GF_Unused_HOS_1E
EVT_SAVE_FLAG(562) GF_Unused_HOS_1F
EVT_SAVE_FLAG(563) GF_Unused_HOS_20
EVT_SAVE_FLAG(564) GF_Unused_HOS_21
EVT_SAVE_FLAG(565) GF_Unused_HOS_22
EVT_SAVE_FLAG(566) GF_NOK01_RecoveredShellA
EVT_SAVE_FLAG(567) GF_NOK01_RecoveredShellB
EVT_SAVE_FLAG(568) GF_NOK01_RecoveredShellC
EVT_SAVE_FLAG(569) GF_NOK02_StolenShellComplaintA
EVT_SAVE_FLAG(570) GF_NOK02_RecoveredShellA
EVT_SAVE_FLAG(571) GF_NOK02_StolenShellComplaintB
EVT_SAVE_FLAG(572) GF_NOK02_RecoveredShellB
EVT_SAVE_FLAG(573) GF_NOK02_KoloradoWife_FuzzyComplaint
EVT_SAVE_FLAG(574) GF_Unused_NOK_08
EVT_SAVE_FLAG(575) GF_Unused_NOK_09
EVT_SAVE_FLAG(576) GF_Unused_NOK_0A
EVT_SAVE_FLAG(577) GF_NOK15_BombedWall
EVT_SAVE_FLAG(578) GF_NOK03_Item_HPPlusB
EVT_SAVE_FLAG(579) GF_NOK02_Item_StarPiece
EVT_SAVE_FLAG(580) GF_NOK12_Item_StarPiece
EVT_SAVE_FLAG(581) GF_NOK14_Item_ThunderBolt
EVT_SAVE_FLAG(582) GF_NOK14_Item_CoinA
EVT_SAVE_FLAG(583) GF_NOK14_Item_CoinB
EVT_SAVE_FLAG(584) GF_NOK14_Item_CoinC
EVT_SAVE_FLAG(585) GF_NOK14_Item_CoinD
EVT_SAVE_FLAG(586) GF_NOK14_Item_CoinE
EVT_SAVE_FLAG(587) GF_Unused_NOK_15
EVT_SAVE_FLAG(588) GF_NOK01_Bush1_Coin
EVT_SAVE_FLAG(589) GF_NOK01_Bush3_DriedShroom
EVT_SAVE_FLAG(590) GF_NOK01_Bush4_KoopaLeaf
EVT_SAVE_FLAG(591) GF_NOK01_Bush5_Coin
EVT_SAVE_FLAG(592) GF_NOK02_Bush1_KoopaLeaf
EVT_SAVE_FLAG(593) GF_NOK15_Tree1_StarPiece
EVT_SAVE_FLAG(594) GF_NOK11_ItemBlock_Coin
EVT_SAVE_FLAG(595) GF_NOK11_BadgeBlock_DizzyAttack
EVT_SAVE_FLAG(596) GF_NOK11_ItemBlock_FrightJar
EVT_SAVE_FLAG(597) GF_NOK12_ItemBlock_POWBlock
EVT_SAVE_FLAG(598) GF_NOK13_BadgeBlock_AttackFXB
EVT_SAVE_FLAG(599) GF_NOK14_HiddenItem_FireFlower
EVT_SAVE_FLAG(600) GF_NOK12_MultiCoinBrick
EVT_SAVE_FLAG(601) GF_Unused_NOK_23
EVT_SAVE_FLAG(602) GF_Unused_NOK_24
EVT_SAVE_FLAG(603) GF_Unused_NOK_25
EVT_SAVE_FLAG(604) GF_Unused_NOK_26
EVT_SAVE_FLAG(605) GF_Unused_NOK_27
EVT_SAVE_FLAG(606) GF_NOK01_HiddenPanel
EVT_SAVE_FLAG(607) GF_Unused_NOK_29
EVT_SAVE_FLAG(608) GF_NOK13_HiddenPanel
EVT_SAVE_FLAG(609) GF_NOK14_HiddenPanel
EVT_SAVE_FLAG(610) GF_NOK11_Defeated_KentC
EVT_SAVE_FLAG(611) GF_NOK01_Bush6_Glasses
EVT_SAVE_FLAG(612) GF_NOK01_Bush7_EmptyWallet
EVT_SAVE_FLAG(613) GF_NOK02_Gift_KoopaLegends
EVT_SAVE_FLAG(614) GF_NOK02_ConfrontedBobombs
EVT_SAVE_FLAG(615) GF_NOK12_Item_SleepySheep
EVT_SAVE_FLAG(616) GF_NOK13_Item_HoneySyrup
EVT_SAVE_FLAG(617) GF_NOK02_Met_KoopaKoot
EVT_SAVE_FLAG(618) GF_Unused_NOK_34
EVT_SAVE_FLAG(619) GF_Unused_NOK_35
EVT_SAVE_FLAG(620) GF_Unused_NOK_36
EVT_SAVE_FLAG(621) GF_Unused_NOK_37
EVT_SAVE_FLAG(622) GF_Unused_NOK_38
EVT_SAVE_FLAG(623) GF_Unused_NOK_39
EVT_SAVE_FLAG(624) GF_Unused_NOK_3A
EVT_SAVE_FLAG(625) GF_Unused_NOK_3B
EVT_SAVE_FLAG(626) GF_Unused_NOK_3C
EVT_SAVE_FLAG(627) GF_Unused_NOK_3D
EVT_SAVE_FLAG(628) GF_Unused_NOK_3E
EVT_SAVE_FLAG(629) GF_Unused_NOK_3F
EVT_SAVE_FLAG(630) GF_Unused_NOK_40
EVT_SAVE_FLAG(631) GF_Unused_NOK_41
EVT_SAVE_FLAG(632) GF_Unused_NOK_42
EVT_SAVE_FLAG(633) GF_Unused_NOK_43
EVT_SAVE_FLAG(634) GF_Unused_NOK_44
EVT_SAVE_FLAG(635) GF_Unused_NOK_45
EVT_SAVE_FLAG(636) GF_Unused_NOK_46
EVT_SAVE_FLAG(637) GF_Unused_NOK_47
EVT_SAVE_FLAG(638) GF_TRD01_Item_SmashCharge
EVT_SAVE_FLAG(639) GF_TRD03_Item_PowerBounce
EVT_SAVE_FLAG(640) GF_TRD09_ItemBlock_MapleSyrup
EVT_SAVE_FLAG(641) GF_TRD00_Chest_Refund
EVT_SAVE_FLAG(642) GF_TRD00_Chest_FPPlusB
EVT_SAVE_FLAG(643) GF_Unused_TRD_05
EVT_SAVE_FLAG(644) GF_Unused_TRD_06
EVT_SAVE_FLAG(645) GF_TRD01_Item_FortressKey
EVT_SAVE_FLAG(646) GF_TRD03_Item_FortressKeyA
EVT_SAVE_FLAG(647) GF_TRD03_Item_FortressKeyB
EVT_SAVE_FLAG(648) GF_TRD08_Item_FortressKey
EVT_SAVE_FLAG(649) GF_Unused_TRD_0B
EVT_SAVE_FLAG(650) GF_TRD01_UnlockedDoor
EVT_SAVE_FLAG(651) GF_TRD02_UnlockedDoor
EVT_SAVE_FLAG(652) GF_TRD04_UnlockedUpperDoor
EVT_SAVE_FLAG(653) GF_TRD04_UnlockedLowerDoor
EVT_SAVE_FLAG(654) GF_Unused_TRD_10
EVT_SAVE_FLAG(655) GF_TRD02_BombedWall
EVT_SAVE_FLAG(656) GF_TRD03_BombedCenterCell
EVT_SAVE_FLAG(657) GF_TRD03_BombedRightCell
EVT_SAVE_FLAG(658) GF_TRD05_BombedWall
EVT_SAVE_FLAG(659) GF_TRD06_BombedWall
EVT_SAVE_FLAG(660) GF_TRD06_Met_Bombette
EVT_SAVE_FLAG(661) GF_TRD09_Defeated_BillBlasters
EVT_SAVE_FLAG(662) GF_TRD09_BombedRock
EVT_SAVE_FLAG(663) GF_TRD10_Defeated_KoopaBros
EVT_SAVE_FLAG(664) GF_Unused_TRD_1A
EVT_SAVE_FLAG(665) GF_TRD01_Defeated_KoopaGuard
EVT_SAVE_FLAG(666) GF_TRD07_Defeated_DungeonAmbush
EVT_SAVE_FLAG(667) GF_Unused_TRD_1D
EVT_SAVE_FLAG(668) GF_Unused_TRD_1E
EVT_SAVE_FLAG(669) GF_Unused_TRD_1F
EVT_SAVE_FLAG(670) GF_Unused_TRD_20
EVT_SAVE_FLAG(671) GF_Unused_TRD_21
EVT_SAVE_FLAG(672) GF_Unused_TRD_22
EVT_SAVE_FLAG(673) GF_Unused_TRD_23
EVT_SAVE_FLAG(674) GF_Unused_TRD_24
EVT_SAVE_FLAG(675) GF_Unused_TRD_25
EVT_SAVE_FLAG(676) GF_Unused_TRD_26
EVT_SAVE_FLAG(677) GF_Unused_TRD_27
EVT_SAVE_FLAG(678) GF_Unused_TRD_28
EVT_SAVE_FLAG(679) GF_Unused_TRD_29
EVT_SAVE_FLAG(680) GF_Unused_TRD_2A
EVT_SAVE_FLAG(681) GF_Unused_TRD_2B
EVT_SAVE_FLAG(682) GF_Unused_TRD_2C
EVT_SAVE_FLAG(683) GF_Unused_TRD_2D
EVT_SAVE_FLAG(684) GF_Unused_TRD_2E
EVT_SAVE_FLAG(685) GF_Unused_TRD_2F
EVT_SAVE_FLAG(686) GF_IWA01_Item_QuakeHammer
EVT_SAVE_FLAG(687) GF_IWA02_Item_StarPiece
EVT_SAVE_FLAG(688) GF_IWA03_Item_StarPiece
EVT_SAVE_FLAG(689) GF_IWA03_Chest_DamageDodgeB
EVT_SAVE_FLAG(690) GF_Unused_IWA_04
EVT_SAVE_FLAG(691) GF_IWA00_Item_CoinA
EVT_SAVE_FLAG(692) GF_IWA00_Item_CoinB
EVT_SAVE_FLAG(693) GF_IWA00_Item_CoinC
EVT_SAVE_FLAG(694) GF_IWA03_Item_CoinA
EVT_SAVE_FLAG(695) GF_IWA03_Item_CoinB
EVT_SAVE_FLAG(696) GF_IWA03_Item_CoinC
EVT_SAVE_FLAG(697) GF_IWA03_Item_CoinD
EVT_SAVE_FLAG(698) GF_IWA03_Item_CoinE
EVT_SAVE_FLAG(699) GF_IWA03_Item_CoinF
EVT_SAVE_FLAG(700) GF_IWA03_Item_CoinG
EVT_SAVE_FLAG(701) GF_IWA03_Item_CoinH
EVT_SAVE_FLAG(702) GF_IWA03_ItemBlock_Coin
EVT_SAVE_FLAG(703) GF_IWA03_ItemBlock_Mushroom
EVT_SAVE_FLAG(704) GF_IWA03_ItemBlock_HoneySyrup
EVT_SAVE_FLAG(705) GF_IWA01_Item_Letter01
EVT_SAVE_FLAG(706) GF_IWA03_Item_Letter25
EVT_SAVE_FLAG(707) GF_IWA04_Item_Letter10
EVT_SAVE_FLAG(708) GF_IWA04_Defeated_Buzzar
EVT_SAVE_FLAG(709) GF_IWA10_Bush1_Coin
EVT_SAVE_FLAG(710) GF_IWA10_Bush2_Coin
EVT_SAVE_FLAG(711) GF_IWA10_Bush3_Coin
EVT_SAVE_FLAG(712) GF_Unused_IWA_1A
EVT_SAVE_FLAG(713) GF_Unused_IWA_1B
EVT_SAVE_FLAG(714) GF_Unused_IWA_1C
EVT_SAVE_FLAG(715) GF_IWA00_ItemBlock_SleepySheep
EVT_SAVE_FLAG(716) GF_IWA02_Gift_MagicalSeed2
EVT_SAVE_FLAG(717) GF_IWA01_HiddenPanel
EVT_SAVE_FLAG(718) GF_Unused_IWA_20
EVT_SAVE_FLAG(719) GF_IWA01_Hammer1Block
EVT_SAVE_FLAG(720) GF_IWA10_Hammer1Block
EVT_SAVE_FLAG(721) GF_IWA10_SuperBlock
EVT_SAVE_FLAG(722) GF_IWA00_Met_Whacka
EVT_SAVE_FLAG(723) GF_Unused_IWA_25
EVT_SAVE_FLAG(724) GF_Unused_IWA_26
EVT_SAVE_FLAG(725) GF_Unused_IWA_27
EVT_SAVE_FLAG(726) GF_Unused_IWA_28
EVT_SAVE_FLAG(727) GF_Unused_IWA_29
EVT_SAVE_FLAG(728) GF_Unused_IWA_2A
EVT_SAVE_FLAG(729) GF_Unused_IWA_2B
EVT_SAVE_FLAG(730) GF_Unused_IWA_2C
EVT_SAVE_FLAG(731) GF_Unused_IWA_2D
EVT_SAVE_FLAG(732) GF_Unused_IWA_2E
EVT_SAVE_FLAG(733) GF_Unused_IWA_2F
EVT_SAVE_FLAG(734) GF_Unused_IWA_30
EVT_SAVE_FLAG(735) GF_Unused_IWA_31
EVT_SAVE_FLAG(736) GF_Unused_IWA_32
EVT_SAVE_FLAG(737) GF_Unused_IWA_33
EVT_SAVE_FLAG(738) GF_Unused_IWA_34
EVT_SAVE_FLAG(739) GF_Unused_IWA_35
EVT_SAVE_FLAG(740) GF_Unused_IWA_36
EVT_SAVE_FLAG(741) GF_Unused_IWA_37
EVT_SAVE_FLAG(742) GF_Unused_IWA_38
EVT_SAVE_FLAG(743) GF_Unused_IWA_39
EVT_SAVE_FLAG(744) GF_Unused_IWA_3A
EVT_SAVE_FLAG(745) GF_Unused_IWA_3B
EVT_SAVE_FLAG(746) GF_DRO02_Sheek_SpokeTo
EVT_SAVE_FLAG(747) GF_DRO02_Sheek_AskedAboutDesert
EVT_SAVE_FLAG(748) GF_DRO02_Sheek_AskedAboutRuins
EVT_SAVE_FLAG(749) GF_DRO02_Sheek_AskedAboutMoustafa
EVT_SAVE_FLAG(750) GF_DRO02_Moustafa_UnusedDialogOverride
EVT_SAVE_FLAG(751) GF_DRO02_Moustafa_HeardAboutDryDryRuins
EVT_SAVE_FLAG(752) GF_Unused_DRO_06
EVT_SAVE_FLAG(753) GF_Unused_DRO_07
EVT_SAVE_FLAG(754) GF_DRO01_Gift_Melody
EVT_SAVE_FLAG(755) GF_DRO01_Gift_ToldComposerAboutMelody
EVT_SAVE_FLAG(756) GF_DRO02_HiddenPanel
EVT_SAVE_FLAG(757) GF_DRO02_Item_Letter08
EVT_SAVE_FLAG(758) GF_DRO01_Gift_RedJar
EVT_SAVE_FLAG(759) GF_DRO01_Gift_CrystalBall
EVT_SAVE_FLAG(760) GF_DRO01_Tree1_Coin
EVT_SAVE_FLAG(761) GF_DRO01_HeardHintAboutSpinningRoof
EVT_SAVE_FLAG(762) GF_Unused_DRO_10
EVT_SAVE_FLAG(763) GF_Unused_DRO_11
EVT_SAVE_FLAG(764) GF_Unused_DRO_12
EVT_SAVE_FLAG(765) GF_Unused_DRO_13
EVT_SAVE_FLAG(766) GF_Unused_DRO_14
EVT_SAVE_FLAG(767) GF_Unused_DRO_15
EVT_SAVE_FLAG(768) GF_Unused_DRO_16
EVT_SAVE_FLAG(769) GF_Unused_DRO_17
EVT_SAVE_FLAG(770) GF_Unused_DRO_18
EVT_SAVE_FLAG(771) GF_Unused_DRO_19
EVT_SAVE_FLAG(772) GF_Unused_DRO_1A
EVT_SAVE_FLAG(773) GF_Unused_DRO_1B
EVT_SAVE_FLAG(774) GF_Unused_DRO_1C
EVT_SAVE_FLAG(775) GF_Unused_DRO_1D
EVT_SAVE_FLAG(776) GF_Unused_DRO_1E
EVT_SAVE_FLAG(777) GF_Unused_DRO_1F
EVT_SAVE_FLAG(778) GF_Unused_DRO_20
EVT_SAVE_FLAG(779) GF_Unused_DRO_21
EVT_SAVE_FLAG(780) GF_Unused_DRO_22
EVT_SAVE_FLAG(781) GF_Unused_DRO_23
EVT_SAVE_FLAG(782) GF_SBK30_Met_Kolorado
EVT_SAVE_FLAG(783) GF_SBK34_Met_Nomadimouse
EVT_SAVE_FLAG(784) GF_Unused_SBK_02
EVT_SAVE_FLAG(785) GF_SBK_KeptArtifactFromKolorado
EVT_SAVE_FLAG(786) GF_SBK_GaveArtifactToKolorado
EVT_SAVE_FLAG(787) GF_SBK30_Kolorado_SharedRumorAboutMoustafa
EVT_SAVE_FLAG(788) GF_Unused_SBK_06
EVT_SAVE_FLAG(789) GF_Unused_SBK_07
EVT_SAVE_FLAG(790) GF_Unused_SBK_08
EVT_SAVE_FLAG(791) GF_Unused_SBK_09
EVT_SAVE_FLAG(792) GF_SBK56_Tree1_Lemon
EVT_SAVE_FLAG(793) GF_SBK56_UnusedA
EVT_SAVE_FLAG(794) GF_SBK56_Tree2_Lime
EVT_SAVE_FLAG(795) GF_SBK56_UnusedB
EVT_SAVE_FLAG(796) GF_SBK33_HiddenPanel
EVT_SAVE_FLAG(797) GF_SBK00_ItemBlock_FrightJar
EVT_SAVE_FLAG(798) GF_SBK00_ItemBlock_Coin
EVT_SAVE_FLAG(799) GF_SBK10_HiddenItem_ThunderRage
EVT_SAVE_FLAG(800) GF_SBK14_ItemBlock_Coin
EVT_SAVE_FLAG(801) GF_SBK14_ItemBlock_HoneySyrup
EVT_SAVE_FLAG(802) GF_SBK20_ItemBlock_Mushroom
EVT_SAVE_FLAG(803) GF_SBK20_ItemBlock_SuperShroom
EVT_SAVE_FLAG(804) GF_SBK20_ItemBlock_UltraShroom
EVT_SAVE_FLAG(805) GF_SBK22_ItemBlock_CoinA
EVT_SAVE_FLAG(806) GF_SBK22_ItemBlock_CoinB
EVT_SAVE_FLAG(807) GF_SBK22_ItemBlock_CoinC
EVT_SAVE_FLAG(808) GF_SBK22_ItemBlock_CoinD
EVT_SAVE_FLAG(809) GF_SBK22_ItemBlock_FireFlower
EVT_SAVE_FLAG(810) GF_SBK24_HiddenBadge_RunawayPay
EVT_SAVE_FLAG(811) GF_SBK43_ItemBlock_Coin
EVT_SAVE_FLAG(812) GF_SBK46_ItemBlock_Coin
EVT_SAVE_FLAG(813) GF_SBK46_HiddenItem_LifeShroom
EVT_SAVE_FLAG(814) GF_SBK61_HiddenBadge_AttackFXC
EVT_SAVE_FLAG(815) GF_SBK64_ItemBlock_Coin
EVT_SAVE_FLAG(816) GF_SBK06_MultiCoinBrick
EVT_SAVE_FLAG(817) GF_SBK14_MultiCoinBrick
EVT_SAVE_FLAG(818) GF_SBK25_MultiCoinBrickA
EVT_SAVE_FLAG(819) GF_SBK25_MultiCoinBrickB
EVT_SAVE_FLAG(820) GF_SBK40_MultiCoinBrick
EVT_SAVE_FLAG(821) GF_SBK52_MultiCoinBrick
EVT_SAVE_FLAG(822) GF_SBK55_MultiCoinBrick
EVT_SAVE_FLAG(823) GF_SBK66_MultiCoinBrickA
EVT_SAVE_FLAG(824) GF_SBK66_MultiCoinBrickB
EVT_SAVE_FLAG(825) GF_SBK66_MultiCoinBrickC
EVT_SAVE_FLAG(826) GF_SBK66_MultiCoinBrickD
EVT_SAVE_FLAG(827) GF_SBK66_MultiCoinBrickE
EVT_SAVE_FLAG(828) GF_SBK66_MultiCoinBrickF
EVT_SAVE_FLAG(829) GF_SBK56_SuperBlock
EVT_SAVE_FLAG(830) GF_SBK30_Visited
EVT_SAVE_FLAG(831) GF_SBK05_Item_FireFlower
EVT_SAVE_FLAG(832) GF_SBK30_Tree2_Letter02
EVT_SAVE_FLAG(833) GF_SBK36_Tree9_Letter03
EVT_SAVE_FLAG(834) GF_SBK45_Item_SpinAttack
EVT_SAVE_FLAG(835) GF_SBK45_Item_StopWatch
EVT_SAVE_FLAG(836) GF_SBK55_Item_TastyTonic
EVT_SAVE_FLAG(837) GF_SBK06_Tree1_Coin
EVT_SAVE_FLAG(838) GF_SBK26_Tree1_Coin
EVT_SAVE_FLAG(839) GF_SBK34_Tree1_Coin
EVT_SAVE_FLAG(840) GF_SBK35_Tree1_Coin
EVT_SAVE_FLAG(841) GF_SBK36_Tree1_Coin
EVT_SAVE_FLAG(842) GF_SBK36_Tree2_Coin
EVT_SAVE_FLAG(843) GF_SBK36_Tree6_Coin
