ActorExists;0x8026DE5C
enable_partner_walking;0x800EB8A8
enable_player_blur;0x802546D4
enable_player_input;0x800E01A4
enable_player_shadow;0x800E00B0
enable_player_static_collisions;0x800E0140
enable_world_fog;0x8011BB50
end_battle;0x80244A50
enemy_create_target_list;0x80263048
enforce_hpfp_limits;0x800E786C
entity_get_collision_flags;0x801108B8
entity_init_BlueSwitch;0x802E2380
entity_init_Chest;0x802E7D84
entity_init_Hammer1Block_normal;0x802E3E00
entity_init_Hammer23Block_normal;0x802E36E4
entity_init_HammerBlock_small;0x802E3E30
entity_init_HugeBlueSwitch;0x802E2408
entry_point;0x80025C00
exec_ShakeCam1;0x802CB56C
exec_ShakeCamX;0x802CB5C8
find_item;0x800E7644
find_script_labels;0x802C3148
fio_calc_file_checksum;0x8002B0D0
fio_calc_header_checksum;0x8002AF40
fio_deserialize_state;0x8002B490
fio_erase_flash;0x8002BA1C
fio_erase_game;0x8002B42C
fio_fetch_saved_file_info;0x8002B154
fio_init_flash;0x8002B84C
fio_load_game;0x8002B2D0
fio_read_flash;0x8002B868
fio_save_game;0x8002B374
fio_serialize_state;0x8002B630
fio_validate_file_checksum;0x8002B0F8
fio_validate_header_checksums;0x8002AF70
fio_write_flash;0x8002B948
fixed_var_to_float;0x802C4920
float_to_fixed_var;0x802C496C
free_icon;0x801448F4
free_npc;0x800389CC
free_npc_by_index;0x800388A0
fx_emote;0x8006FE90
fx_sleep_bubble;0x800707F0
fx_sweat;0x80070790
fx_walk_large;0x8006FAD0
fx_walk_normal;0x8006FB30
general_heap_create;0x8002AC00
general_heap_free;0x8002AC78
general_heap_malloc;0x8002AC28
general_heap_malloc_tail;0x8002AC50
get_actor;0x80269D6C
get_actor_part;0x8026445C
get_area_byte;0x80145650
get_area_flag;0x801455F0
get_asset_offset;0x8005ADD0
get_background_color_blend;0x8011BE80
get_cam_viewport;0x8002E4E8
get_char_width;0x80125DF4
get_clamped_angle_diff;0x80029C28
get_coin_drop_amount;0x80048D50
get_collider_center;0x8005BE10
get_collider_type_by_id;0x8005BDA8
get_current_map_config;0x8005ABD8
get_current_map_header;0x8005ABE8
get_current_partner_id;0x800E5088
get_default_variation_for_song;0x8014A430
get_defeated;0x8003EDF0
get_defense;0x802662BC
get_dpad_input_radial;0x8023E000
get_dynamic_entity;0x8012363C
get_enemy;0x8003ECE8
get_enemy_safe;0x8003ED68
get_entity_by_index;0x801105E8
get_entity_fog_color;0x8012307C
get_entity_fog_distance;0x80123060
get_entity_list;0x80110620
get_entity_type;0x801106A4
get_float_variable;0x802C842C
get_fortress_key_count;0x800EA3E4
get_game_mode;0x80033528
get_global_byte;0x80145538
get_global_flag;0x801454BC
get_global_timespace;0x802C420C
get_icon_render_pos;0x801449AC
get_item_count;0x800E75EC
get_item_empty_count;0x800E7620
get_item_entity;0x80130F58
get_map_IDs_by_name;0x8005ABF8
get_menu_icon;0x801448D4
get_menu_icon_script;0x801448B0
get_model_center_and_size;0x8011B0EC
get_model_from_list_index;0x8011AD30
get_model_list_index_from_tree_index;0x8011B010
get_model_property;0x80115B0C
get_nearest_home_index;0x80269698
get_npc_by_index;0x80038ADC
get_npc_pos;0x8005DE10
get_npc_safe;0x8003AB48
get_npc_unsafe;0x8003AAEC
get_player_data;0x800E7564
get_player_normal_pitch;0x80029E50
get_player_normal_yaw;0x80029E20
get_screen_coords;0x8002E538
get_script_by_id;0x802C47A8
get_script_by_index;0x802C4790
get_shadow_by_index;0x80110604
get_shadow_list;0x8011064C
get_spirits_rescued;0x8002AE40
get_stored_count;0x800E7814
get_stored_empty_count;0x800E7848
get_string_properties;0x80125F68
get_string_width;0x80126474
get_trigger_by_id;0x80145CD0
get_variable;0x802C7ABC
get_variable_index;0x802C7DA8
get_variable_index_alt;0x802C7F20
get_world_fog_color;0x8011BBD8
get_world_fog_distance;0x8011BBB4
gfxPreNMI_Callback;0x8002670C
!gfxRetrace_Callback;0x8002605C
gfx_draw_frame;0x80026B08
goto_map;0x802CA304
gravity_use_fall_parms;0x800E306C
gravity_use_jump_parms;0x800E2FD0
guFrustum;0x80062060
guFrustumF;0x80061F30
guLookAt;0x80062530
guLookAtF;0x800621B0
guLookAtHilite;0x80063244
guLookAtHiliteF;0x800628C0
guLookAtReflect;0x80063898
guLookAtReflectF;0x80063320
guMtxCat;0x80067960
guMtxCatF;0x80067600
guMtxF2L;0x80067500
guMtxIdent;0x80067440
guMtxIdentF;0x800674A0
guMtxL2F;0x80067580
guMtxXFMF;0x80067A70
guMtxXFML;0x800679E0
guNormalize;0x8006CBC0
guOrtho;0x80063A40
guOrthoF;0x80063910
guPerspective;0x80063D40
guPerspectiveF;0x80063B90
guPosition;0x800640E8
guPositionF;0x80063F10
guRotate;0x80067C80
guRotateAngles;0x80064458
guRotateAnglesF;0x800642D0
guRotateF;0x80067B20
guScale;0x80067700
guScaleF;0x800677C0
guTranslate;0x80067820
guTranslateF;0x80067900
has_full_fp;0x800EA37C
has_full_hp;0x800EA360
heap_free;0x8002AD2C
heap_malloc;0x8002ACE4
heroes_is_ability_active;0x802672AC
hide_coin_counter;0x800E9698
hide_foreground_models;0x80267CB4
hide_foreground_models_unsafe;0x80267BDC
icon_set_opacity;0x80144EB0
icon_set_tint;0x80144EFC
increment_max_SP;0x800EA1B4
increment_status_menu_disabled;0x800E9B54
inflict_partner_ko;0x80266254
inflict_status;0x80265F40
inflict_status_set_duration;0x80266CF0
init_demo_data;0x80038080
init_dynamic_entity_list;0x80123114
init_got_item;0x80131B00
init_item_entity_list;0x801310CC
init_menu_icon_list;0x80141300
init_model_data;0x80115FE8
init_npc_list;0x8003852C
init_script_list;0x802C32EC
init_trigger_list;0x80145728
init_virtual_models;0x80120C58
initialize_battle;0x8023E130
initialize_collision;0x8005AF94
initialize_curtains;0x8002BA40
initialize_next_camera;0x8002E16C
initialize_printer;0x801256A4
initialize_status_menu;0x800E7934
input_to_move_vector;0x800E2304
int_to_string;0x800294C4
integrate_gravity;0x800E3448
intro_logos_fade_in;0x800337F8
intro_logos_fade_out;0x80033830
intro_logos_set_fade_alpha;0x800337D0
intro_logos_set_fade_color;0x800337E0
intro_logos_update_fade;0x80033874
is_ability_active;0x800E9D48
is_actor_hp_bar_visible;0x80253C20
is_actortype_hpbar_visible;0x80253C9C
is_current_partner_flying;0x800EA5A4
!is_entity_data_loaded;0x8011115C
is_entity_fog_enabled;0x80123050
is_partner_ability_active;0x800EA0B8
is_player_action_state;0x80110BB0
is_point_within_region;0x80048FD4
is_popup_displayed;0x8024FAB4
is_status_menu_visible;0x800E9910
is_trigger_bound;0x80145C6C
is_world_fog_enabled;0x8011BBA4
kill_all_scripts;0x802C4114
kill_encounter;0x8003E730
kill_enemy;0x8003E7AC
kill_script;0x802C3F3C
kill_script_by_ID;0x802C40AC
ldiv;0x8006D620
length2D;0x80028FF0
lldiv;0x8006D6A4
load_area_specific_entity_data;0x80110C14
load_asset_by_name;0x8005ACE8
load_battle;0x80072C90
load_collision;0x8005B058
load_data_for_models;0x8011AD48
load_demo_battle;0x80072E14
load_engine_data;0x80026DDC
load_font;0x80123734
load_font_data;0x80123708
load_hit_asset;0x8005AFC0
load_hit_data;0x8005B23C
load_map_bg;0x80145D70
load_map_by_IDs;0x8005A6F4
load_map_script_lib;0x8005A6C0
load_message_to_buffer;0x8012588C
load_message_to_printer;0x80125A68
load_model_textures;0x80115C24
load_model_transforms;0x8011ADC8
load_partner_actor;0x80264B74
load_player_actor;0x802644A4
load_simple_entity_data;0x801112A4
load_split_entity_data;0x80111408
load_sprite;0x802DEB0C
load_stage_collision;0x8005B1A0
load_string;0x80125900
load_tattle_flags;0x80253E78
load_tile_header;0x80114D6C
load_virtual_model;0x80120CE0
lookup_defense;0x80265E44
lookup_status_chance;0x80265E98
lookup_status_duration_mod;0x80265EEC
make_disguise_npc;0x800E657C
make_item_entity;0x801313F4
make_item_entity_delayed;0x80131AC8
make_item_entity_nodelay;0x80131A94
make_npcs;0x8003E678
mem_clear;0x80029600
memcpy;0x80064A74
memset;0x8006EDB0
modify_collider_family_flags;0x802C9CE8
move_cam_over;0x8024E4D8
move_player;0x800E2778
mtx_ident_mirror_y;0x80038478
mtx_mirror_y;0x80254288
next_demo_scene;0x800380F4
npc_do_other_npc_collision;0x8003900C
npc_do_player_collision;0x800392D8
npc_do_world_collision;0x80038AFC
npc_move_heading;0x8003AA54
nuAuCleanDMABuffers;0x8004B268
!nuAuDmaCallBack;0x8004B074
nuAuDmaNew;0x8004B224
nuBoot;0x8005E8B0
nuContDataClose;0x8006060C
nuContDataGet;0x8005F650
nuContDataLock;0x800608C0
nuContDataOpen;0x80060634
nuContDataUnLock;0x800608F0
nuContInit;0x8005F610
nuContMgrInit;0x80060510
nuContMgrRemove;0x800605E8
nuContPakMgrInit;0x8005F6B0
nuContPakMgrRemove;0x8005F6D4
nuContQueryRead;0x80060920
nuContRmbCheck;0x8005FEF0
nuContRmbForceStop;0x800600A0
nuContRmbForceStopEnd;0x800600C0
nuContRmbMgrInit;0x8005FC8C
nuContRmbMgrRemove;0x8005FCEC
nuContRmbModeSet;0x8005FF90
nuContRmbStart;0x8005FE90
nuGfxDisplayOff;0x8005F400
nuGfxDisplayOn;0x8005F430
nuGfxFuncSet;0x8005F250
nuGfxInitEX2;0x8005F560
nuGfxPreNMIFuncSet;0x8005F290
nuGfxRetraceWait;0x80060370
nuGfxSetCfb;0x8005F2F0
nuGfxSwapCfb;0x80060350
nuGfxSwapCfbFuncSet;0x80060310
nuGfxTaskAllEndWait;0x8005F2D0
nuGfxTaskMgr;0x8002CA40
!nuGfxTaskMgrInit;0x8002CB38
nuGfxTaskStart;0x8002CCC4
nuGfxThread;0x80060248
nuGfxThreadStart;0x800601F0
nuPiInit;0x8005F450
nuPiReadRom;0x8005F490
nuPiReadRomOverlay;0x800600E0
!nuScAddClient;0x8005EE30
nuScCreateScheduler;0x8005E9B0
!nuScEventBroadcast;0x8005F0C0
nuScEventHandler;0x8005EFA8
nuScExecuteAudio;0x8005EBE0
!nuScExecuteGraphics;0x8005ED14
nuScGetAudioMQ;0x8005EF84
nuScGetFrameRate;0x8005EF9C
nuScGetGfxMQ;0x8005EF78
nuScRemoveClient;0x8005EEBC
nuScResetClientMesgType;0x8005EF38
nuScSetFrameBufferNum;0x8005EF90
nuScWaitTaskReady;0x8005F120
nuSiCallBackAdd;0x800603F0
nuSiCallBackRemove;0x80060490
nuSiMgrInit;0x8002CE30
nuSiMgrRestart;0x8002CFAC
nuSiMgrStop;0x8002CF8C
nuSiMgrThread;0x8002CFD0
nuSiSendMesg;0x8002CF28
open_status_menu_long;0x800E9760
open_status_menu_short;0x800E978C
osAfterPreNMI;0x8006A630
osAiDeviceBusy;0x8006B850
osAiGetLength;0x80061540
osAiGetStatus;0x80061550
osAiSetFrequency;0x80061560
osAiSetNextBuffer;0x80061680
osCartRomInit;0x80060F10
osCheckId;0x80069DD4
osCheckPackId;0x80069AA4
osContAddressCrc;0x8006C860
osContDataCrc;0x8006C8CC
osContGetInitData;0x80061D1C
osContGetQuery;0x80061980
osContGetReadData;0x80061A28
osContInit;0x80061B80
osContRamRead;0x8006A1D0
osContRamWrite;0x8006A3C0
osContStartQuery;0x80061900
osContStartReadData;0x800619A0
osCreateMesgQueue;0x80065580
osCreatePiManager;0x800609E0
osCreateThread;0x80065E60
osCreateViManager;0x80066A70
osDequeueThread;0x80066200
osDestroyThread;0x8006C950
osDevMgrMain;0x80061090
__osDisableInt;0x8006B360
osDispatchThreadSave;0x8006B1F4
osEPiLinkHandle;0x80060EC0
osEPiRawReadIo;0x8006B570
osEPiRawStartDma;0x80060B70
osEPiRawWriteIo;0x8006B6E0
osEPiReadIo;0x80060DC0
osEPiStartDma;0x80060E20
osEPiWriteIo;0x80060D60
osExceptionPreamble;0x8006AA00
osFlashAllErase;0x8006F308
osFlashClearStatus;0x8006F29C
osFlashInit;0x8006EF68
osFlashReadArray;0x8006F75C
osFlashReadId;0x8006F184
osFlashReadStatus;0x8006F0B8
osFlashSectorErase;0x8006F424
osFlashWriteArray;0x8006F61C
osFlashWriteBuffer;0x8006F550
osGetActiveQueue;0x80066290
osGetCause;0x8006C660
osGetCount;0x80065A00
osGetId;0x80069C08
osGetSR;0x8006C670
osGetThreadPri;0x80065F30
osGetTime;0x800662A0
osIdCheckSum;0x80069774
osInitialize;0x8006A708
osInsertTimer;0x80066690
osInvalDCache;0x80061720
osInvalICache;0x800617D0
osJamMesg;0x800655B0
osMapTLB;0x800667A0
osMapTLBRdb;0x8006CA30
__osMotorAccess;0x80067E00
osMotorInit;0x80067F44
contRmbControl;0x8005F920
osPackReadData;0x80061AC4
osPackRequestData;0x80061DD0
osPfsAllocateFile;0x80068190
osPfsCheckRamArea;0x80069388
osPfsChecker;0x8006CC20
osPfsDeclearPage;0x8006849C
osPfsDeleteFile;0x800685C0
osPfsFileState;0x80068C20
osPfsFindFile;0x80068DC0
osPfsFreeBlocks;0x80068F80
osPfsGetInitData;0x8006D560
osPfsGetOneChannelData;0x80069644
osPfsGetStatus;0x800694C0
osPfsInitPak;0x80069190
osPfsIsPlug;0x8006D340
osPfsNumFiles;0x80069090
osPfsRWInode;0x80069E8C
osPfsReadWriteFile;0x800687E0
osPfsReleasePages;0x8006876C
osPfsRepairId;0x80069460
osPfsRequestData;0x8006D4BC
osPfsRequestOneChannel;0x800695B0
osPfsSelectBank;0x800696D0
osPiCreateAccessQueue;0x80061450
osPiGetAccess;0x800614A4
osPiGetCmdQueue;0x8006B550
osPiRawStartDma;0x8006B480
osPiRelAccess;0x80061510
osProbeTLB;0x80066860
osRecvMesg;0x800656F0
osRepairPackId;0x800697B8
osResetGlobalIntMask;0x8006B430
__osRestoreInt;0x8006B3D0
osSendMesg;0x80065820
osSetCompare;0x8006C680
osSetEventMesg;0x80065950
osSetFpcCsr;0x8006C690
osSetGlobalIntMask;0x8006B3F0
osSetIntMask;0x80060940
osSetSR;0x8006C6A0
osSetThreadPri;0x80065F50
osSetTime;0x80066330
osSetTimer;0x80066350
osSetTimerIntr;0x80066610
osSetWatchLo;0x8006C6B0
osSiCreateAccessQueue;0x80065D70
osSiDeviceBusy;0x8006D7E0
osSiGetAccess;0x80065DC4
osSiRawReadIo;0x8006C7C0
osSiRawStartDma;0x80065CC0
osSiRawWriteIo;0x8006C810
osSiRelAccess;0x80065E30
osSpDeviceBusy;0x8006C6C0
osSpGetStatus;0x8006C6E0
osSpRawStartDma;0x8006C730
osSpSetPc;0x8006C700
osSpSetStatus;0x8006C6F0
osSpTaskLoad;0x80065A10
osSpTaskStartGo;0x80065C1C
osSpTaskYield;0x80065C50
osSpTaskYielded;0x80065C70
osStartThread;0x80066020
osStopThread;0x80066140
osSumcalc;0x80069740
osTimerInterrupt;0x800664D4
osTimerServicesInit;0x80066480
osUnmapTLB;0x80066920
osUnmapTLBAll;0x80066960
osViBlack;0x80067380
osViGetCurrentContext;0x8006CBA0
osViGetCurrentFramebuffer;0x800669B0
osViGetCurrentMode;0x80066A30
osViGetNextFramebuffer;0x800669F0
osViInit;0x8006CA90
osViRepeatLine;0x800673E0
osViSetEvent;0x80066DB0
osViSetMode;0x80066E10
osViSetSpecialFeatures;0x80066E60
osViSetYScale;0x80066FD0
osViSwapBuffer;0x80067020
osViSwapContext;0x80067070
osVirtualToPhysical;0x80061E90
osWritebackDCache;0x80061850
osWritebackDCacheAll;0x800618D0
osYieldThread;0x80066240
parent_collider_to_model;0x8005B780
partner_can_use_ability;0x800EB42C
partner_get_ride_script;0x800EB638
partner_handle_after_battle;0x800EB6C4
partner_handle_before_battle;0x800EB658
partner_initialize_data;0x800EB580
partner_kill_ability_script;0x800EB7CC
partner_player_can_pause;0x800EB3E0
partner_reset_data;0x800EB474
partner_resume_ability_script;0x800EB860
partner_suspend_ability_script;0x800EB818
partner_test_enemy_collision;0x800EB5E4
partner_use_ability;0x800EB314
pause_badges_cleanup;0x80249758
pause_badges_comparator;0x80246FE0
pause_badges_count_all;0x80247054
pause_badges_count_equipped;0x802470B0
pause_badges_draw_bp_orbs;0x80247458
pause_badges_draw_contents;0x80247508
pause_badges_get_column;0x802471D8
pause_badges_get_pos_x;0x8024710C
pause_badges_get_pos_y;0x80247168
pause_badges_get_row;0x80247220
pause_badges_handle_input;0x802490A8
pause_badges_init;0x80248FC0
pause_badges_is_visible;0x80247270
pause_badges_load_badges;0x80248D8C
pause_badges_scroll_offset_x;0x802472A8
pause_badges_scroll_offset_y;0x80247298
pause_badges_try_equip;0x80247338
pause_badges_try_remove;0x802472B0
pause_badges_update;0x8024961C
pause_cleanup;0x80244708;0x135EE0
pause_draw_menu_label;0x8024EE94
pause_draw_rect;0x80244858
pause_get_menu_string;0x8024EE80
pause_get_total_equipped_bp_cost;0x802447F4
pause_handle_input;0x80244424
pause_init;0x80244060
pause_interp_cursor;0x80242E6C
pause_interp_text_scroll;0x80243418
pause_interp_vertical_scroll;0x8024346C
pause_items_cleanup;0x8024AD90
pause_items_comparator;0x802497B0
pause_items_draw_contents;0x80249970
pause_items_get_column;0x80249898
pause_items_get_pos_x;0x802497D0
pause_items_get_pos_y;0x80249828
pause_items_get_row;0x802498E0
pause_items_handle_input;0x8024A7D8
pause_items_init;0x8024A714
pause_items_is_visible;0x80249930
pause_items_load_items;0x8024A4DC
pause_items_scroll_offset_x;0x80249968
pause_items_scroll_offset_y;0x80249958
pause_items_update;0x8024AC54
pause_map_cleanup;0x8024EE2C
pause_map_draw_border_arrows;0x8024DA28
pause_map_draw_contents;0x8024DB1C
pause_map_draw_title;0x8024E54C
pause_map_handle_input;0x8024E878
pause_map_init;0x8024E604
pause_map_update;0x8024ECB0
pause_partners_cleanup;0x8024C984
pause_partners_draw_contents;0x8024AEF8
pause_partners_draw_movelist;0x8024BD38
pause_partners_draw_movelist_flower;0x8024C0A0
pause_partners_draw_movelist_title;0x8024C048
pause_partners_draw_title;0x8024BBAC
pause_partners_handle_input;0x8024C338
pause_partners_init;0x8024C0E0
pause_partners_load_portrait;0x8024ADE0
pause_partners_update;0x8024C7A4
pause_set_cursor_opacity;0x80242BA0;0x135EE0
pause_sort_item_list;0x80244A4C
pause_spirits_cleanup;0x8024D8D8
pause_spirits_draw_contents;0x8024CA00
pause_spirits_draw_title;0x8024D294
pause_spirits_handle_input;0x8024D44C
pause_spirits_init;0x8024D360
pause_spirits_update;0x8024D800
pause_stats_cleanup;0x80246F94
pause_stats_draw_contents;0x80245980
pause_stats_handle_input;0x80246B74
pause_stats_init;0x80246AC8
pause_tabs_cleanup;0x80245930
pause_tabs_draw_badges;0x80244CC0
pause_tabs_draw_invis;0x80244B90
pause_tabs_draw_items;0x80244DE8
pause_tabs_draw_map;0x80245160
pause_tabs_draw_party;0x80244F10
pause_tabs_draw_spirits;0x80245038
pause_tabs_draw_stats;0x80244B98
pause_tabs_handle_input;0x80245354
pause_tabs_init;0x80245288
pause_tabs_update;0x802455BC
pause_textbox_draw_contents;0x80243570
pause_tutorial_draw_contents;0x802437F4
pause_tutorial_input;0x802442A0
pause_update_cursor;0x802434DC;0x135EE0
phys_player_land;0x800E3278
play_ambient_sounds;0x80147368
play_effect;0x8005A564
play_hit_sound;0x80277004
play_model_animation;0x80120148
play_movement_dust_effects;0x802642F0
play_sound;0x80149CB4
play_sound_at_npc;0x80149D08
play_sound_at_player;0x80149CD8
play_sound_at_position;0x80149D5C
player_create_target_list;0x8026302C
player_enter_blue_pipe;0x802E8CCC
player_jump;0x802D14E0
poll_rumble;0x80028EE0
proutSprintf;0x80065548
push_entity_matrix;0x802E8E4C
queue_render_task;0x8011D910
rand_int;0x800299FC
read_background_size;0x80145E28
recover_fp;0x800EA264
recover_hp;0x800EA2CC
remove_actor_decoration;0x80267234
remove_all_effects;0x8005A4E0
remove_consumable;0x800EA47C
remove_effect;0x8005A450
remove_item_entity_by_index;0x801339FC
remove_item_entity_by_reference;0x80133930
remove_part_decoration;0x80267218
remove_part_shadow;0x802673A0
create_part_shadow_by_ref;0x802673E4
remove_player_buffs;0x80267454
render_curtains;0x8002BA80
render_dynamic_entities;0x80123470
render_effects;0x80059EF4
render_entities;0x8010FEB4
render_frame;0x8002D73C
render_item_entities;0x80132E54
render_menu_icon;0x80142BFC
render_menu_icons;0x801436B4
render_messages;0x80124204
render_models;0x80116B90
render_npcs;0x8003A7F0
render_player;0x800E1138
render_player_model;0x800E1168
render_shadows;0x801100CC
render_sprite;0x802DDC40
render_ui;0x80112F58
reset_actor_blur;0x802545AC
reset_all_actor_sounds;0x80267A9C
reset_partner_blur;0x8025468C
reset_status_menu;0x800E9BB0
resolve_npc;0x802CDAC0
restart_script;0x802C3D04
resume_all_group;0x802C4648
resume_all_script;0x802C448C
resume_group_others;0x802C471C
resume_group_script;0x802C437C
resume_group_script_index;0x802C4570
round;0x80029AC4
save_game_at_player_position;0x802E11A0
save_ground_pos;0x800E54E0
save_tattle_flags;0x80253D10
set_action_state;0x800E5DA4
set_actor_current_position;0x80269C24
set_actor_home_position;0x80269D20
set_actor_yaw;0x80263F68
set_anim_timescale;0x802DD88C
set_animation;0x80263CFC
set_animation_rate;0x80263EB8
set_area_byte;0x80145638
set_area_flag;0x801455A0
set_aux_pan_u;0x8011BC4C
set_aux_pan_v;0x8011BC64
set_background_color_blend;0x8011BE5C
set_background_size;0x80145E70
set_cam_target_pos;0x8024E520
set_cam_viewport;0x8002E314
set_cam_zoffset;0x8024E5E0
set_cam_zoom;0x8024E594
set_curtain_draw_callback;0x8002BF04
set_curtain_fade;0x8002BF24
set_curtain_fade_goal;0x8002BF14
set_curtain_scale;0x8002BEEC
set_curtain_scale_goal;0x8002BEDC
set_defeated;0x8003EE40
set_entity_fog_color;0x80123028
set_entity_fog_dist;0x80123010
set_float_variable;0x802C8640
set_game_mode;0x800334F0
set_global_byte;0x80145520
set_global_flag;0x80145450
set_global_timespace;0x802C4200
set_goal_pos_to_part;0x80269754
set_icon_flags;0x80144A00
set_icon_render_pos;0x80144984
set_item_entity_flags;0x80134148
set_item_entity_position;0x8013420C
set_main_pan_u;0x8011BC1C
set_main_pan_v;0x8011BC34
set_map_transition_effect;0x801382A0
set_max_SP;0x800EA1D8
set_menu_icon_script;0x801447FC
set_message_images;0x80125B2C
set_message_string;0x80125B3C
set_message_value;0x80125BE8
set_music_track;0x8014A918
set_npc_animation;0x802CDB0C
set_npc_shadow_scale;0x80112900
set_npc_yaw;0x8003B340
set_part_absolute_position;0x80269C70
set_part_goal_to_actor_part;0x802699D8
set_part_yaw;0x80263F9C
set_peach_shadow_scale;0x801129D4
set_popup_duration;0x8024FAC4
set_script_flags;0x802C47E8
set_script_group;0x802C4218
set_script_priority;0x802C41D8
set_script_timescale;0x802C41E0
set_standard_shadow_scale;0x8011285C
set_tex_panner;0x8011BC14
set_ui_panel_properties;0x80147CC8
set_variable;0x802C8098
set_world_fog_color;0x8011BB88
set_world_fog_dist;0x8011BB74
set_zone_enabled;0x802CA1B8
setup_demo_player;0x80072D2C
setup_item_popup;0x800E6C44
setup_partner_popup;0x800E6B78
setup_path_data;0x802D4DAC
show_battle_message;0x8024F960
show_coin_counter;0x800E9518
show_damage_popup;0x802665AC
show_first_strike_message;0x80041C5C
show_foreground_models;0x80267D28
show_foreground_models_unsafe;0x80267C48
show_message_popup;0x80250EA4
show_variable_battle_message;0x8024FA04
si;0x8006AD90
si_execute_next_command;0x802C7404
si_find_label;0x802C8890
!si_goto_end_case;0x802C89E4
si_goto_end_loop;0x802C8AE4
si_goto_next_case;0x802C8A60
si_handle_AND;0x802C6270
si_handle_AND_const;0x802C62D4
si_handle_OR;0x802C632C
si_handle_OR_const;0x802C6390
si_handle_add;0x802C5804
si_handle_addF;0x802C5A84
si_handle_allocate_array;0x802C6214
si_handle_bind;0x802C6714
si_handle_bind_lock;0x802C6B54
si_handle_break_case;0x802C56D4
si_handle_break_loop;0x802C4B0C
si_handle_call;0x802C63E8
si_handle_case_AND;0x802C549C
si_handle_case_default;0x802C5444
si_handle_case_equal;0x802C5030
si_handle_case_equal_AND;0x802C55B8
si_handle_case_equal_OR;0x802C5518
si_handle_case_greater;0x802C5268
si_handle_case_greater_equal;0x802C52F8
si_handle_case_less;0x802C5148
si_handle_case_less_equal;0x802C51D8
si_handle_case_not_equal;0x802C50BC
si_handle_case_range;0x802C5388
si_handle_child_thread;0x802C6D6C
si_handle_divide;0x802C5934
si_handle_divideF;0x802C5BC0
si_handle_does_script_exist;0x802C6A78
si_handle_else;0x802C4F40
si_handle_end_case_group;0x802C565C
si_handle_end_child_thread;0x802C6DF4
si_handle_end_if;0x802C4F6C
si_handle_end_loop;0x802C4A48
si_handle_end_switch;0x802C5718
si_handle_end_thread;0x802C6D4C
si_handle_exec1;0x802C646C
si_handle_exec2;0x802C6524
si_handle_exec_wait;0x802C65FC
si_handle_get_1_float;0x802C5EB4
si_handle_get_1_word;0x802C5C90
si_handle_get_2_float;0x802C5F0C
si_handle_get_2_word;0x802C5CC4
si_handle_get_3_float;0x802C5F9C
si_handle_get_3_word;0x802C5D2C
si_handle_get_4_float;0x802C605C
si_handle_get_4_word;0x802C5DB4
si_handle_get_Nth_float;0x802C614C
si_handle_get_Nth_word;0x802C5E5C
si_handle_goto;0x802C49C0
si_handle_if_AND;0x802C4E90
si_handle_if_equal;0x802C4C40
si_handle_if_greater;0x802C4D64
si_handle_if_greater_equal;0x802C4E2C
si_handle_if_less;0x802C4D00
si_handle_if_less_equal;0x802C4DC8
si_handle_if_not_AND;0x802C4EE8
si_handle_if_not_equal;0x802C4CA0
si_handle_jump;0x802C6640
si_handle_kill;0x802C6870
si_handle_label;0x802C49B8
si_handle_loop;0x802C4A00
si_handle_mod;0x802C59BC
si_handle_multiply;0x802C58CC
si_handle_multiplyF;0x802C5B54
si_handle_print_debug_var;0x802C6E1C
si_handle_resume;0x802C6A4C
si_handle_resume_all;0x802C697C
si_handle_resume_others;0x802C69E4
si_handle_return;0x802C4998
si_handle_set_array;0x802C61AC
si_handle_set_const;0x802C5790
si_handle_set_flag_array;0x802C61E0
si_handle_set_float;0x802C57B8
si_handle_set_float_buffer_ptr;0x802C5C5C
si_handle_set_group;0x802C6914
si_handle_set_int_buffer_ptr;0x802C5C28
si_handle_set_priority;0x802C689C
si_handle_set_timescale;0x802C68D8
si_handle_set_var;0x802C5744
si_handle_subtract;0x802C5868
si_handle_subtractF;0x802C5AEC
si_handle_suspend;0x802C6A20
si_handle_suspend_all;0x802C6950
si_handle_suspend_others;0x802C69A8
si_handle_switch;0x802C4F74
si_handle_switch_const;0x802C4FE4
si_handle_thread;0x802C6C78
si_handle_unbind;0x802C6850
si_handle_wait;0x802C4B5C
si_handle_wait_seconds;0x802C4BB8
si_skip_else;0x802C8978
si_skip_if;0x802C88FC
si_standard_trigger_executor;0x802C6AD0
sign;0x800294B0
signF;0x80029A7C
sin_cos_deg;0x8002A234
sin_cos_rad;0x8002A0B4
sin_deg;0x8002A2EC
sin_rad;0x8002A16C
sins;0x800645F0
sort_items;0x800E76CC
sort_scripts;0x802C3000
spawn_drops;0x80048280
spr_appendMDL_component;0x802DC8F4
spr_draw_component;0x802DCEDC
spr_transform_point;0x802DCD00
sprintf;0x800654F0
sqrtf;0x80061EF0
start_battle;0x800446B4
start_bounce_a;0x800E6034
start_bounce_b;0x800E608C
start_child_script;0x802C37C8
start_falling;0x800E5FD0
start_rumble;0x80028F08
start_rumble_type;0x80267DF4
start_script;0x802C33E0
start_script_in_group;0x802C35D0
status_menu_draw_number;0x800E7CA4
status_menu_draw_stat;0x800E7E34
status_menu_start_blinking_coins;0x800E99F4
status_menu_start_blinking_fp;0x800E998C
status_menu_start_blinking_hp;0x800E9920
status_menu_start_blinking_sp;0x800E9A60
status_menu_start_blinking_sp_bars;0x800E9AB8
